Sample	group
sample11A.genes.results	2
sample11B.genes.results	2
sample11C.genes.results	2
sample9A.genes.results	1
sample9B.genes.results	1
sample9C.genes.results	1
sample15A.genes.results	2
sample15B.genes.results	2
sample15C.genes.results	2
sample13A.genes.results	1
sample13B.genes.results	1
sample13C.genes.results	1
sample19A.genes.results	2
sample19B.genes.results	2
sample19C.genes.results	2
sample17A.genes.results	1
sample17B.genes.results	1
sample17C.genes.results	1
sample23A.genes.results	2
sample23B.genes.results	2
sample23C.genes.results	2
sample21A.genes.results	1
sample21B.genes.results	1
sample21C.genes.results	1
sample3A.genes.results	2
sample3B.genes.results	2
sample3C.genes.results	2
sample1A.genes.results	1
sample1B.genes.results	1
sample1C.genes.results	1
sample7A.genes.results	2
sample7B.genes.results	2
sample7C.genes.results	2
sample5A.genes.results	1
sample5B.genes.results	1
sample5C.genes.results	1
