val_loss	loss	learning_rate	batch_size	epochs	kappa
2066.292048136393	2285.730354026512	0.001	10	120	0.01
2042.5120120578342	2024.0858708134404	0.001	10	120	0.01
2010.2318962944878	2006.1306915283203	0.001	10	120	0.01
1980.501224093967	1989.1777004665798	0.001	10	120	0.01
1953.4777933756511	1979.808057996962	0.001	10	120	0.01
1955.3485904269749	1977.1944676151982	0.001	10	120	0.01
1953.220455593533	1969.9221349645543	0.001	10	120	0.01
1942.5529022216797	1968.7557909930194	0.001	10	120	0.01
1936.0331929524739	1966.4879964192708	0.001	10	120	0.01
1927.6219126383464	1959.6168529369213	0.001	10	120	0.01
1926.7936723497178	1949.931916978624	0.001	10	120	0.01
1922.3075663248699	1941.4900326199001	0.001	10	120	0.01
1912.4085540771484	1935.5427150019893	0.001	10	120	0.01
1914.732633802626	1935.5136051884404	0.001	10	120	0.01
1915.2920650906033	1932.1205591272426	0.001	10	120	0.01
1908.741916232639	1926.9277694137008	0.001	10	120	0.01
1903.2216576470269	1920.7498677571614	0.001	10	120	0.01
1896.7811160617405	1911.0261021366825	0.001	10	120	0.01
1895.658955891927	1914.8162027994792	0.001	10	120	0.01
1904.0288306342231	1907.843820642542	0.001	10	120	0.01
1898.7446153428818	1905.6470529061776	0.001	10	120	0.01
1891.3678165011936	1897.6015370686848	0.001	10	120	0.01
1892.3049960666233	1898.2308564362702	0.001	10	120	0.01
1894.0995873345269	1895.0014541060837	0.001	10	120	0.01
1879.0176815456814	1888.4253268771702	0.001	10	120	0.01
1882.6808217366536	1882.7171845612702	0.001	10	120	0.01
1880.6125047471787	1883.990609628183	0.001	10	120	0.01
1879.3781127929688	1878.8568697328922	0.001	10	120	0.01
1881.1634250217014	1874.1494389286747	0.001	10	120	0.01
1872.0911220974392	1877.76602907534	0.001	10	120	0.01
1867.9297722710503	1874.603264702691	0.001	10	120	0.01
1871.5481821695964	1865.668087994611	0.001	10	120	0.01
1860.6529964870876	1862.325725414135	0.001	10	120	0.01
1867.935830010308	1858.8706309000652	0.001	10	120	0.01
1861.6480645073784	1854.7510675500941	0.001	10	120	0.01
1858.8669993082683	1856.254549379702	0.001	10	120	0.01
1859.0271606445312	1856.1973707411025	0.001	10	120	0.01
1854.9642520480686	1848.9017317030166	0.001	10	120	0.01
1859.314173380534	1848.1446821424697	0.001	10	120	0.01
1857.2479366726345	1851.4504010235821	0.001	10	120	0.01
1848.4930979410808	1843.5782029893662	0.001	10	120	0.01
1846.3837466769749	1840.8432605884693	0.001	10	120	0.01
1848.0103302001953	1838.3829006618923	0.001	10	120	0.01
1850.5280049641926	1839.0409223768447	0.001	10	120	0.01
1851.3750525580513	1836.3277333577473	0.001	10	120	0.01
1847.2944827609592	1837.2571710657191	0.001	10	120	0.01
1850.2910936143662	1839.8659809253834	0.001	10	120	0.01
1842.7148742675781	1834.9347121627243	0.001	10	120	0.01
1844.764136420356	1834.5452293113426	0.001	10	120	0.01
1845.21753777398	1827.8074872052227	0.001	10	120	0.01
1844.7323371039497	1830.1987123842594	0.001	10	120	0.01
1842.292263454861	1828.3727077907986	0.001	10	120	0.01
1841.3308546278213	1828.5991787380642	0.001	10	120	0.01
1840.7381235758464	1826.6857831036602	0.001	10	120	0.01
1839.1636725531685	1827.6820972583912	0.001	10	120	0.01
1832.8587239583333	1824.5408466480396	0.001	10	120	0.01
1833.591505262587	1821.6517684371383	0.001	10	120	0.01
1836.4310811360676	1821.386489868164	0.001	10	120	0.01
1838.144507514106	1817.7315781204788	0.001	10	120	0.01
1832.0481736924912	1815.7956011736835	0.001	10	120	0.01
1830.6136033799912	1816.4772214536313	0.001	10	120	0.01
1830.2987043592666	1811.327577944155	0.001	10	120	0.01
1832.2147623697917	1815.313134652597	0.001	10	120	0.01
1834.260301378038	1815.114954630534	0.001	10	120	0.01
1829.8451690673828	1813.5302395290798	0.001	10	120	0.01
1829.1448126898872	1811.3955716733578	0.001	10	120	0.01
1830.9435340033638	1815.153498896846	0.001	10	120	0.01
1827.226826985677	1812.3216852258754	0.001	10	120	0.01
1825.623284233941	1808.140812061451	0.001	10	120	0.01
1825.1515485975478	1808.1291972972729	0.001	10	120	0.01
1828.9513787163628	1807.8504163953994	0.001	10	120	0.01
1826.8765174018013	1806.5747364185474	0.001	10	120	0.01
1825.896480984158	1804.6576193350334	0.001	10	120	0.01
1823.9533250596787	1806.2761303936993	0.001	10	120	0.01
1826.5235375298394	1802.520593713831	0.001	10	120	0.01
1831.817647298177	1804.767901385272	0.001	10	120	0.01
1821.6940697564019	1806.0745069715713	0.001	10	120	0.01
1826.536370171441	1798.9529605441624	0.001	10	120	0.01
1823.8790910508897	1806.4466400146484	0.001	10	120	0.01
1825.055675930447	1803.5540415445964	0.001	10	120	0.01
1822.6112976074219	1797.309169628002	0.001	10	120	0.01
