val_loss	loss	learning_rate	batch_size	epochs	kappa
663.531758888544	699.007684117684	0.001	10	40	0.01
642.0166930144352	649.262349332427	0.001	10	40	0.01
639.1788106598881	637.1836042579861	0.001	10	40	0.01
634.6915079392022	631.565062137454	0.001	10	40	0.01
631.0412230648752	628.317407237708	0.001	10	40	0.01
628.6852895370529	626.2077148362104	0.001	10	40	0.01
628.5422891813349	624.6909363147005	0.001	10	40	0.01
626.8089583924033	623.2857703336923	0.001	10	40	0.01
624.9893416528648	622.4470345410928	0.001	10	40	0.01
625.6234860055675	621.3630268472473	0.001	10	40	0.01
623.5476619911301	620.903984820102	0.001	10	40	0.01
625.3509919370853	620.4916399783598	0.001	10	40	0.01
624.7967691559032	620.0186006433438	0.001	10	40	0.01
623.2799708677474	619.4028055309974	0.001	10	40	0.01
623.6412467590839	619.0852776915707	0.001	10	40	0.01
622.4291569912529	618.7293930115176	0.001	10	40	0.01
622.3879023885147	618.5932590159472	0.001	10	40	0.01
623.3213982747658	618.3237898697677	0.001	10	40	0.01
622.8390282548175	618.2357495047364	0.001	10	40	0.01
622.5608408841946	617.8687881280416	0.001	10	40	0.01
622.1116947194662	617.8434065752149	0.001	10	40	0.01
623.2126591309892	617.5706541759126	0.001	10	40	0.01
625.3391432691848	617.4451912246295	0.001	10	40	0.01
622.953659968498	617.4620918377597	0.001	10	40	0.01
622.2667780398054	617.3722455800043	0.001	10	40	0.01
623.9493864553149	617.312360288531	0.001	10	40	0.01
621.575709540944	617.1872441040675	0.001	10	40	0.01
622.2084367303856	617.1544555880417	0.001	10	40	0.01
623.1431882061256	617.1504953639375	0.001	10	40	0.01
621.8863857536344	617.0259783362861	0.001	10	40	0.01
622.8079904986362	616.9415776853922	0.001	10	40	0.01
621.705092841686	616.8864888265441	0.001	10	40	0.01
624.0418891608643	617.0592185367261	0.001	10	40	0.01
621.9585664614387	616.8283642185407	0.001	10	40	0.01
623.6484094679831	616.943625646155	0.001	10	40	0.01
622.425095102342	616.7055564965192	0.001	10	40	0.01
621.0717034898834	616.76822600766	0.001	10	40	0.01
622.7156312082485	616.6192856191456	0.001	10	40	0.01
621.6995445576604	616.6459369369516	0.001	10	40	0.01
624.3244451499625	616.6694100011822	0.001	10	40	0.01
