	1v2 traditional + specific	1v2 specific only	1v2 traditional + generic	1v3 traditional + specific	1v3 specific only	1v3 traditional + generic	1v4 traditional + specific	1v4 specific only	1v4 traditional + generic	1v5 traditional + specific	1v5 specific only	1v5 traditional + generic
0	PA2664	PA5015	PA4587	PA2664	PA4770	PA0179	PA2664	PA2760	PA2015	PA2664		PA2815
1	PA3392	PA4753	PA0999	PA1985	PA1562	PA3841	PA1985	PA0045	PA2013	PA3392		PA5550
2	PA0752	PA2111	PA2629	PA3392		PA2194	PA3392	PA0783	PA3189	PA2849		PA3904
3	PA3872	PA3537	PA5173	PA3183		PA1708	PA0179	PA1999	PA0105	PA3183		PA4980
4	PA3919	PA3364	PA5425	PA3872		PA2193	PA3872		PA0517	PA1924		PA2765
5	PA4920	PA3366	PA3610	PA3334		PA3049	PA3334		PA0513	PA3848		PA3161
6	PA3914	PA3363	PA0997	PA5167		PA2747	PA4920		PA0516	PA0130		PA3040
7	PA3190	PA3009	PA2193	PA4496		PA3876	PA5167		PA1555	PA5535		PA0293
8	PA2195	PA0492	PA1000	PA4726		PA0586	PA4496		PA2366	PA4427		PA5372
9	PA3967	PA4390	PA1561	PA3329		PA3278	PA3329		PA2862	PA1863		PA0045
10	PA0494	PA1579	PA4131	PA2265		PA5546	PA3972		PA0518	PA2688		PA5110
11	PA2113	PA2002	PA0517	PA0587		PA2247	PA0587		PA3188	PA3915		PA0323
12	PA3870	PA2110	PA0513	PA3684		PA1557	PA1070		PA1183	PA1925		PA2114
13	PA3187	PA1768	PA2009	PA1250		PA5481	PA0130		PA1556	PA4064		PA2622
14	PA0753	PA3892	PA1555	PA1070		PA2014	PA1175		PA3924	PA4836		PA3578
15	PA3189	PA1140	PA2381	PA4876		PA1657	PA3915		PA2365	PA2913		PA2007
16	PA4658	PA3979	PA4770	PA1175		PA1707	PA4661		PA1174	PA1183		PA0090
17	PA3876	PA0125	PA1228	PA3915		PA1718	PA3250		PA0872	PA1516		PA4272
18	PA2321	PA5332	PA0515	PA4661		PA4880	PA2634		PA0523	PA4837		PA3407
19	PA3877	PA0751	PA1342	PA2634		PA2250	PA3723		PA2250	PA1843		PA0521
20	PA0516	PA3871	PA4133	PA3723		PA0315	PA1001		PA0122	PA5534		PA3393
21	PA3894	PA1340	PA2014	PA2223		PA0567	PA0897		PA2248	PA3335		PA3767
22	PA1634		PA0518	PA1001		PA2746	PA0892			PA3875		PA1774
23	PA0524		PA1556	PA0743		PA2248	PA0525			PA5440		PA1914
24	PA1337		PA0519	PA3479		PA1190	PA0743			PA2663		PA3479
25	PA3874		PA1657	PA1073			PA3479			PA2434		PA5404
26	PA2112		PA2007	PA3875			PA3335			PA3600		PA0484
