ProbeID	experiment_0	experiment_1	experiment_2	experiment_3	experiment_4	experiment_5	experiment_6	experiment_7	experiment_8	experiment_9	experiment_10	experiment_11	experiment_12	experiment_13	experiment_14	experiment_15	experiment_16	experiment_17	experiment_18	experiment_19	experiment_20	experiment_21	experiment_22	experiment_23	experiment_24	experiment_25	experiment_26	experiment_27	experiment_28	experiment_29	experiment_30	experiment_31	experiment_32	experiment_33	experiment_34	experiment_35	experiment_36	experiment_37	experiment_38	experiment_39	experiment_40	experiment_41	experiment_42	experiment_43	experiment_44	experiment_45	experiment_46	experiment_47	experiment_48	experiment_49	experiment_50	experiment_51	experiment_52	experiment_53	experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59	experiment_60	experiment_61	experiment_62	experiment_63	experiment_64	experiment_65	experiment_66	experiment_67	experiment_68	experiment_69	experiment_70	experiment_71	experiment_72	prop DEGs	gene id
AFFX-YEL024W_RIP1_at	0	0	0	0	0		0	0.0	1	0.0	1	1	0	0	0	1	1	0	0	0.0		0		1	0	0	0.0	0	0	1	0	1.0	0	0	0	0	0	0	0	0	0			0	0.0	0	0	0	0	0	0.0	0		0	0		0	0	0		1	0	0	0										0.1232876712328767	AFFX-YEL024W
AFFX-YER022W_SRB4_at	0	0	0	0	0		0		0		0	1	0	0	0	1	1	0	0			0		1	0	0		0	0	1	0		0	0	0	0	0	0	0	0	0			0		0	0	0	0	0	0.0	0		0	1		0	0	0		1	0	0	0										0.0958904109589041	AFFX-YER022W
AFFX-YER148W_SPT15_at	0	0	0	0	0	0.0	0		0	0.0	1	1	0	0	0	1	1	1	0	0.0		0	0.0	1	0	0	0.0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0			0	1.0	0	0	0	0	0	0.0	0	0.0	0	0		0	0	0		1	0	0	0										0.1506849315068493	AFFX-YER148W
AFFX-YFL039C_ACT1_at	0	0	0	0	0	0.0	0	0.0	0	0.0	1	0	0	0	0	1	1	0	0	0.0		0	1.0	1	0	0		0	0	1	0	0.0	0	0	0	0	0	0	0	0	0			0	0.0	0	0	0	0	0	0.0	0	0.0	0	1		0	0	0		0	0	0	0										0.0958904109589041	AFFX-YFL039C
PA0001_dnaA_at	1	0	1	0	0	1.0	0	0.0	1	1.0	1	1	0	0	0	1	1	1	1	0.0	1.0	1	0.0	1	0	0	0.0	0	1	1	0	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	1	1.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3150684931506849	PA0001
PA0002_dnaN_at	1	0	1	0	0	0.0	0	0.0	1	1.0	0	1	0	0	1	0	1	1	1	0.0	1.0	1	0.0	1	0	0	0.0	0	0	1	0	0.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2191780821917808	PA0002
PA0003_recF_at	1	0	1	0	0	1.0	0	0.0	1	1.0	0	1	1	0	0	1	1	1	1	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	0.0	0	0	0	1	0	0	0	0	0	1.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3013698630136986	PA0003
PA0004_gyrB_at	0	0	1	0	0	0.0	0	0.0	0	0.0	0	1	0	0	0	0	1	1	1	0.0	1.0	1	0.0	1	0	0	0.0	0	1	1	0	0.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	1.0	1	1	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2328767123287671	PA0004
PA0005_at	0	0	1	0	0	0.0	0	0.0	0	1.0	0	1	0	0	0	1	1	1	1	0.0	1.0	0	0.0	1	0	0	0.0	1	0	1	0	0.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	1.0	0	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2191780821917808	PA0005
PA0006_at	1	0	0	0	0	0.0	0	0.0	1	1.0	0	0	0	0	0	1	1	1	1	0.0	1.0	0	0.0	1	0	0		1	0	1	0	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1780821917808219	PA0006
PA0007_at	0	0	1	0	0	0.0	0	0.0	1	0.0	0	1	0	0	1	1	1	1	1	1.0	1.0	0	1.0	1	0	0		0	0	1	0	1.0	1	0	0	0	1	0	0	0	0	1.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3013698630136986	PA0007
PA0008_glyS_at	1	0	1	0	0	0.0	0	0.0	0	0.0	0	1	1	0	1	0	1	1	1	0.0	1.0	0	0.0	1	0	0	0.0	0	1	1	0	0.0	0	0	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	1.0	0	1	0	0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3013698630136986	PA0008
PA0009_glyQ_at	1	0	0	1	0	1.0	1	0.0	1	1.0	0	1	1	0	0	1	0	1	1	0.0	1.0	0	0.0	1	0	0	0.0	0	1	0	0	0.0	0	0	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	1.0	0	1	0	0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3287671232876712	PA0009
PA0010_tag_at	0	0	0	0	0	0.0	0	0.0	0	0.0	0	1	0	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0958904109589041	PA0010
PA0011_at	0	0	0	0	0	0.0	0	0.0	0	1.0	0	1	0	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1506849315068493	PA0011
PA0012_at	1	0	0	0	0	0.0	0	0.0	0	1.0	0	0	0	0	0	1	1	1	1	0.0	1.0	0	0.0	0	0	0	0.0	0	0	1	1	0.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	1	0	0	0.0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1643835616438356	PA0012
PA0013_at	0	0	0	0	0	0.0	0	0.0	0	1.0	0	0	1	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	1.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	1	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1643835616438356	PA0013
PA0014_at	0	0	0	0	0	0.0	0	0.0	0	0.0	1	0	0	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0			0.0	0.0	0.0	0.0			0.1232876712328767	PA0014
PA0015_at	0	0	0	0	0	0.0	0	0.0	0	1.0	1	1	1	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	0	0.0	0	1	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1780821917808219	PA0015
PA0016_trkA_at	0	0	0	0	0	0.0	0	0.0	0	1.0	0	0	1	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	1.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1780821917808219	PA0016
PA0017_at	1	0	1	0	0	0.0	0	0.0	0	1.0	0	1	1	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	0.0	0	0	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2191780821917808	PA0017
PA0018_fmt_at	0	0	1	0	0	0.0	0	0.0	0	1.0	0	1	1	0	0	1	0	1	0	0.0	1.0	1	0.0	1	0	0	0.0	0	0	1	1	1.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2328767123287671	PA0018
PA0019_def_at	0	0	1	0	0	0.0	0	0.0	0	1.0	1	1	0	0	1	1	1	1	0	0.0	1.0	1	0.0	1	1	0	0.0	1	0	1	0	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	1	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.273972602739726	PA0019
PA0020_at	1	0	1	0	0	0.0	1	0.0	0	1.0	0	1	1	0	1	1	1	1	1	1.0	1.0	0	0.0	1	0	0	0.0	0	1	1	0	0.0	0	1	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	1	0	0	0.0	0	0	0	0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3287671232876712	PA0020
PA0021_at	0	0	0	0	0	0.0	0	0.0	0	0.0	1	0	0	0	0	1	0	1	0	1.0	1.0	0	0.0	1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0			0.0	0.0		0.0			0.1232876712328767	PA0021
PA0022_at	1	0	0	0	0	0.0	0	0.0	1	1.0	0	0	0	0	0	1	0	1	0	0.0	1.0	0	0.0	0	0	0	0.0	0	0	1	0	1.0	0	0	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	1	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1506849315068493	PA0022
PA0023_qor_at	0	0	1	0	0	0.0	0	0.0	1	0.0	0	1	1	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0	0.0	1	0	1	1	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	1	1.0	1	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2328767123287671	PA0023
PA0024_hemF_at	1	0	0	1	0	0.0	0	0.0	1	0.0	0	1	1	0	1	0	0	1	1	1.0	1.0	0	0.0	1	0	0	1.0	1	0	1	0	1.0	0	0	0	1	0	0	0	1	0	1.0	0.0	0	1.0	0	0	0	1	1	1.0	1	0.0	0	0	1.0	1	0	0	1.0	0	0	0	0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.3972602739726027	PA0024
PA0025_aroE_at	1	0	0	1	0	0.0	0	0.0	0	0.0	0	1	1	0	1	1	0	1	1	1.0	1.0	0	0.0	1	0	0		0	0	1	1	1.0	0	0	0	1	0	0	0	0	0	1.0	0.0	0	1.0	0	0	0	0	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.2876712328767123	PA0025
PA0026_at	0	0	1	0	0	0.0	1	0.0	1	0.0	1	1	1	0	0	0	1	1	0	1.0	1.0	0	0.0	1	0	0	1.0	1	0	1	1	1.0	0	1	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	1	0.0	0	0	0.0	1	0	0	0.0	0	0	0	0	0.0	1.0	1.0	0.0	0.0	1.0	0.0		1.0	0.3150684931506849	PA0026
PA0027_at	0	0	1	0	0	0.0	0	0.0	1	0.0	1	1	1	0	0	1	1	1	1	1.0	1.0	0	0.0	1	0	0	1.0	1	0	1	1	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	1.0	1	0	0	0.0	0	0	0	0	0.0	1.0	1.0	0.0	0.0		0.0		1.0	0.3013698630136986	PA0027
PA0028_at	0	0	1	0	0	0.0	0	0.0	1	0.0	0	1	1	0	0	0	1	1	0	1.0	1.0	0	0.0	1	0	0	1.0	1	0	1	0	1.0	0	1	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	1	1.0	1	0	0	0.0	0	0	0	0	0.0	1.0	1.0	0.0	0.0		0.0		1.0	0.2876712328767123	PA0028
PA0029_at	0	0	0	0	0	0.0	0	0.0	0	0.0	0	1	0	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0					0.1095890410958904	PA0029
PA0030_at	0	0	0	0	0	0.0	0	0.0	0	0.0	1	0	0	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0			0.0	0.0	0.0				0.1095890410958904	PA0030
PA0031_betC_at	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	1	0	1	0	0.0	1.0	0	0.0	1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	1	0	0	0	0.0	1.0	0.0	0.0	0.0	1.0			0.0	0.136986301369863	PA0031
PA0032_at	0	0	0	0	0	0.0	0	0.0	1	0.0	0	0	0	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136986301369863	PA0032
PA0033_at	0	0	1	0	0	0.0	0	0.0	1	0.0	1	1	1	0	0	1	1	1	0	0.0	0.0	0	0.0	1	1	0	0.0	0	0	1	1	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0			0.0	0.0					0.1643835616438356	PA0033
PA0034_at	0	0	0	0	1	0.0	0	0.0	1	0.0	1	1	1	0	0	1	0	1	0	0.0	1.0	0	0.0	1	1	0	0.0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0				0.0	0.2054794520547945	PA0034
PA0035_trpA_at	0	0	0	0	0	0.0	1	0.0	1	0.0	1	0	1	0	0	1	1	1	0	0.0	0.0	0	0.0	1	0	0	0.0	1	0	1	0	0.0	0	0	0	0	0	1	0	0	0	0.0	0.0	0	0.0	0	1	0	1	0	0.0	0	0.0	0	1	0.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0		1.0	0.2328767123287671	PA0035
PA0036_trpB_at	1	0	0	0	0	0.0	1	0.0	0	1.0	1	0	0	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0	0.0	1	0	1	0	0.0	0	0	0	0	0	1	0	0	0	0.0	0.0	0	0.0	0	1	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2465753424657534	PA0036
PA0037_trpI_at	0	0	0	0	0	0.0	0	0.0	1	1.0	1	1	0	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0	0.0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0			0.0	0.0	0.0		0.0	0.0	0.1780821917808219	PA0037
PA0038_at	1	0	0	1	0	0.0	1	0.0	1	1.0	0	1	0	0	1	0	1	1	1	0.0	1.0	0	0.0	1	0	0	0.0	1	0	1	1	1.0	1	0	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	1.0	1	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3561643835616438	PA0038
PA0039_at	1	0	1	1	0	1.0	1	0.0	0	0.0	0	1	1	0	1	1	1	0	0	0.0	1.0	0	0.0	1	1	0	0.0	0	0	1	1	1.0	0	1	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	1	0	0	0	1.0	0	0.0	0	0	1.0	1	0	0	1.0	1	0	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3835616438356164	PA0039
PA0040_s_at	1	0	0	0	0	0.0	0	0.0	1	1.0	0	0	1	0	0	0	0	1	0	0.0	1.0	0	0.0	1	1	0		0	0	1	0	0.0	1	0	0	0	0	0	0	0	0	1.0	0.0	0	0.0	0	0	0	0	0	0.0	1	0.0	0	1	1.0	1	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.2328767123287671	PA0040
PA0041_at	0	0	1	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	1	1	1	0	1.0	1.0	0	0.0	1	0	0		0	0	1	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.1506849315068493	PA0041
PA0042_at	1	0	0	0	0	0.0	0	0.0	1	1.0	0	1	1	0	0	0	1	1	1	0.0	1.0	0	0.0	1	0	0	0.0	1	0	0	1	0.0	0	0	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	1	0	0	0.0	0	0	0	0	0.0	1.0		0.0	0.0	0.0	0.0		0.0	0.2054794520547945	PA0042
PA0043_at	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	1	0	1	0	0.0	0.0	0	0.0	1	1	0	0.0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1095890410958904	PA0043
PA0044_exoT_at	1	0	1	0	0	0.0	1	0.0	1	1.0	1	1	1	0	1	1	1	1	1	0.0	1.0	0	0.0	1	0	0	1.0	1	0	1	1	1.0	0	0	0	1	0	1	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3698630136986301	PA0044
PA0045_at	1	0	1	1	0	1.0	1	0.0	1	1.0	0	1	1	0	1	1	1	1	0	0.0	1.0	1	0.0	1	0	0	0.0	0	1	1	0	0.0	0	0	0	1	1	0	0	0	0	1.0	0.0	0	0.0	0	1	0	1	0	0.0	1	0.0	0	0	1.0	1	0	0	1.0	0	0	0	0	1.0			0.0	0.0			0.0	1.0	0.3972602739726027	PA0045
PA0046_at	1	0	1	0	0	1.0	1	0.0	1	1.0	1	1	1	0	0	1	1	1	0	0.0	1.0	1	0.0	1	0	0	1.0	0	1	1	0	0.0	1	0	0	1	1	0	0	0	0	1.0	0.0	0	0.0	0	0	0	1	0	0.0	1	0.0	0	0	1.0	1	0	0	1.0	0	0	0	0	1.0			0.0	0.0				1.0	0.3972602739726027	PA0046
PA0047_at	1	0	1	0	0	0.0	1	0.0	1	1.0	1	0	1	0	0	0	0	1	1	0.0	0.0	1	0.0	1	0	0	1.0	0	0	1	1	0.0	0	0	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	1	0.0	0	1	0.0	1	0	0	1.0	0	0	0	0	1.0			0.0	0.0			0.0	1.0	0.3013698630136986	PA0047
PA0048_at	0	0	1	0	0	0.0	0	0.0	1	0.0	1	1	0	0	0	1	0	1	0	0.0	0.0	0	0.0	1	0	0		0	0	1	1	1.0	1	1	0	1	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	1.0			0.0	0.0				1.0	0.2191780821917808	PA0048
PA0049_at	0	0	1	0	0	1.0	1	0.0	1	1.0	0	1	0	0	0	1	0	1	0	0.0	1.0	0	0.0	1	1	0		0	0	1	1	1.0	1	1	0	1	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	1	0	0	0.0	0	0	0	0	1.0	1.0	1.0	0.0	0.0	1.0		0.0	1.0	0.3287671232876712	PA0049
PA0050_r_at	0	0	1	0	0	0.0	0	0.0	1	1.0	0	1	1	0	1	1	1	1	1	1.0	1.0	0	0.0	1	0	0	1.0	0	1	1	1	1.0	1	1	0	0	1	0	0	0	0	0.0	0.0	0	0.0	0	0	0	1	1	1.0	0	0.0	0	0	1.0	0	0	0	1.0	0	0	0	0	1.0	1.0	0.0	0.0	0.0		0.0		1.0	0.3972602739726027	PA0050
PA0051_at	0	0	0	0	0	0.0	0	0.0	1	0.0	1	1	0	0	0	1	1	1	0	0.0	1.0	0	0.0	1	0	0		1	0	1	1	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	1.0	1.0	0.0	0.0	1.0	0.0		1.0	0.2191780821917808	PA0051
