ProbeID	experiment_0	experiment_1	experiment_2	experiment_3	experiment_4	experiment_5	experiment_6	experiment_7	experiment_8	experiment_9	experiment_10	experiment_11	experiment_12	experiment_13	experiment_14	experiment_15	experiment_16	experiment_17	experiment_18	experiment_19	experiment_20	experiment_21	experiment_22	experiment_23	experiment_24	experiment_25	experiment_26	experiment_27	experiment_28	experiment_29	experiment_30	experiment_31	experiment_32	experiment_33	experiment_34	experiment_35	experiment_36	experiment_37	experiment_38	experiment_39	experiment_40	experiment_41	experiment_42	experiment_43	experiment_44	experiment_45	experiment_46	experiment_47	experiment_48	experiment_49	experiment_50	experiment_51	experiment_52	experiment_53	experiment_54	experiment_55	experiment_56	experiment_57	experiment_58	experiment_59	experiment_60	experiment_61	experiment_62	experiment_63	experiment_64	experiment_65	experiment_66	experiment_67	experiment_68	experiment_69	experiment_70	experiment_71	experiment_72	prop DEGs	gene id
AFFX-Athal_GAPDH_at	0	0	0	0	0		0	0.0	0	0.0	1	1	0	0	0	1	1	0	0	0.0		0	0.0	1	0	0		0	0	1	0	0.0	0	0	0	0	0	0	0	0	0			0	0.0	0	0	0	0	0	0.0	0	0.0	0	0		0	0	0		0	0	0	0										0.0821917808219178	AFFX-Athal
AFFX-Athal_actin_at	0	0	0	0	0		0	0.0	0	0.0	0	0	0	0	0	1	1	0	0	0.0		0		1	0	0		0	0	1	1	0.0	0	0	0	0	0	0	0	0	0			0		0	0	0	0	0		0		0	1		0	0	0		0	0	0	0										0.0821917808219178	AFFX-Athal
AFFX-Athal_ubq_at	0	0	0	0	0	0.0	0	0.0	1	0.0	0	0	0	0	1	1	1	0	0	0.0		0	0.0	1	0	0		0	0	1	0	0.0	0	0	0	0	0	0	0	0	0	0.0		0	0.0	0	0	0	0	0	0.0	0	0.0	0	1		0	0	0		0	0	0	0										0.0958904109589041	AFFX-Athal
AFFX-Bsubtilis_dapB_at	1	0	1	0	0	0.0	0	0.0	0	0.0	1	1	0	0	0	0	1	1	0	0.0		0	0.0	1	1	0		1	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	1	0.0	0	0.0	0	0		0	0	0		0	0	0	0										0.1506849315068493	AFFX-Bsubtilis
AFFX-Bsubtilis_lys_at	0	0	1	0	0	0.0	0	0.0	1	0.0	1	1	0	0	0	1	1	1	0	0.0		0		1	1	0	0.0	0	0	1	0	1.0	0	0	0	1	0	0	0	0	0			0	0.0	0	0	0	0	0	0.0	0		0	0		0	0	0		0	0	0	0										0.1643835616438356	AFFX-Bsubtilis
AFFX-Bsubtilis_pheB_at	1	0	1	0	0	0.0	0	0.0	0	0.0	1	1	0	0	0	0	1	1	0	0.0		0	1.0	1	1	0	0.0	1	1	0	0	1.0	0	0	0	0	0	0	0	0	0	0.0		0	0.0	0	0	0	0	1	0.0	0	0.0	0	0		0	0	0		0	0	0	0										0.1780821917808219	AFFX-Bsubtilis
AFFX-Bsubtilis_thrC_at	1	0	1	0	0	0.0	0	0.0	0	0.0	0	1	0	0	0	0	1	1	0	0.0		0	1.0	1	1	0		1	1	0	0	1.0	0	0	0	0	0	0	0	0	0	0.0	1.0	0	0.0	0	0	0	1	0	0.0	0	0.0	0	0		0	0	0		0	0	0	0										0.1780821917808219	AFFX-Bsubtilis
AFFX-Bsubtilis_trpD_at	0	0	1	0	0		0		0	0.0	1	1	0	0	0	1	1	0	0	0.0		0	1.0	1	0	0		0	0	1	0	1.0	0	0	0	0	0	0	0	0	0			0	0.0	0	0	0	0	0	0.0	0	0.0	0	1		0	0	0		0	0	0	0										0.136986301369863	AFFX-Bsubtilis
AFFX-YEL002C_WPB1_at	0	0	0	0	0		0		0		0	1	0	0	0	1	1	1	0	0.0		0		1	0	0		0	0	1	0	1.0	0	0	0	0	0	0	0	0	0			0		0	0	0	0	0	0.0	0		0	1		0	0	0		0	0	0	0										0.1095890410958904	AFFX-YEL002C
AFFX-YEL018W_at	0	0	0	0	0		0		0		1	1	0	0	0	1	1	0	0	0.0		0	1.0	1	0	0		0	0	1	0	1.0	0	0	0	0	0	0	0	0	0			0	0.0	0	0	0	0	0	0.0	0	0.0	0	0		0	0	0		1	0	0	0										0.1232876712328767	AFFX-YEL018W
