	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA14_53300	PA14_53300	3.27748958725275e-44	5890.0	3.82063428076891	-3.82063428076891	0.6155952063421409	4244.0	72.03735144312394	0.0	0.24970029416832604	0.19492484113775188	25	18.31954288513198
PA14_19590	PA14_19590	1.10385250377998e-11	5889.0	3.73933415761155	3.73933415761155	0.638776169800655	4761.0	80.81494057724959	0.04	0.3478893692450759	0.38069582672469787	25	8.908542070304897
PA14_01720	PA14_01720	2.7304832775110497e-49	5888.0	3.6765596320951497	-3.6765596320951497	0.4191232510125639	3479.0	59.04923599320883	0.0	0.260998571277908	0.2123028161466918	25	16.088157108840427
PA14_21530	PA14_21530	1.6171426870074598e-28	5887.0	3.2730768239759302	-3.2730768239759302	0.757436336503468	4379.0	74.32937181663837	0.0	0.2224757326714403	0.1729177298913289	25	17.641921931439057
PA14_71110	PA14_71110	1.7077371447300698e-07	5886.0	3.2527184572259302	-3.2527184572259302	0.954680862980869	4229.0	71.78268251273346	0.0	0.26059585466348034	0.20311043541641785	25	14.731506022465009
PA14_17710	PA14_17710	8.13474364645929e-40	5885.0	3.19749036277799	3.19749036277799	0.0197886205424773	5885.0	99.8981324278438	0.24	0.8002958445141879	0.5171443808060193	25	4.635445355758375
PA14_10500	PA14_10500	2.4008666182293896e-30	5884.0	3.1736879145684203	-3.1736879145684203	0.286292914314133	4426.0	75.12733446519525	0.0	0.25401816562080265	0.1739301608403352	25	16.786448853041783
PA14_17700	PA14_17700	2.6297641113586196e-52	5883.0	3.13100608698439	3.13100608698439	0.00128891648393024	5889.0	99.9660441426146	0.4	0.9471388655142502	0.6506710741904159	25	3.356330576378198
PA14_37290	PA14_37290		5882.0	3.09064398450992	-3.09064398450992	0.1439111754557	5825.0	98.87945670628184	0.16	0.5713807940835094	0.4818503177033143	25	5.2283107385592205
PA14_33630	PA14_33630	2.7371298033447696e-21	5881.0	2.9909400077364303	2.9909400077364303	0.576794509779723	2866.0	48.641765704584046	0.0	0.28343916476358966	0.41395933930198575	25	6.540499478857519
PA14_10490	PA14_10490	2.5582688604527795e-16	5880.0	2.97737014834718	-2.97737014834718	0.3933450322956671	4892.0	83.03904923599322	0.0	0.25087963102449484	0.1756393307060489	25	15.523234496297171
PA14_33610	PA14_33610	1.2622323006506399e-14	5879.0	2.8952936086445	2.8952936086445	0.415251464514115	2826.0	47.96264855687607	0.0	0.2775411993892542	0.3025273567284336	25	8.652944439682836
PA14_33270	PA14_33270	7.21891515480664e-13	5878.0	2.8574358728609197	2.8574358728609197	0.6330049574989975	5334.0	90.5432937181664	0.0	0.3295233784146775	0.2098042110659986	24	12.048912086187968
PA14_33280	PA14_33280	4.1767033751311e-13	5877.0	2.84847412238384	2.84847412238384	0.255648400053977	4805.0	81.56196943972836	0.0	0.3733508571231152	0.5201874467651224	25	4.758137245819206
PA14_39960	PA14_39960	1.12854586008208e-09	5876.0	2.8131724109287	-2.8131724109287	0.17078145008246	5568.0	94.51612903225806	0.04	0.38590401600159935	0.3040548590028778	25	7.982994920348
PA14_37270	PA14_37270		5875.0	2.74408161313336	-2.74408161313336	0.12198682936511801	5829.0	98.94736842105264	0.12	0.5194372395746492	0.4526123176769927	25	4.915121146009841
PA14_37470	PA14_37470	0.0555634811615905	5874.0	2.64480523418543	2.64480523418543	0.8587296475003571	4667.0	79.21901528013584	0.04	0.24160128252234137	0.20920314010780802	25	11.487418164109071
PA14_34720	PA14_34720	1.13294122490548e-08	5873.0	2.63680073998056	2.63680073998056	0.0144410564076243	5886.0	99.9151103565365	0.16	0.786941622522389	0.37950434442677317	25	4.874408276543745
PA14_39970	PA14_39970	8.11180620290245e-06	5872.0	2.60159790024427	-2.60159790024427	0.0251881073610361	5716.0	97.0288624787776	0.08	0.44521152734213554	0.3443401436195257	25	6.262372868394939
PA14_37460	PA14_37460	0.000326139912289639	5871.0	2.58408113747799	2.58408113747799	0.9311956256878091	4649.0	78.91341256366724	0.0	0.22091522797602386	0.15684567565597005	25	15.066822209911635
PA14_33510	PA14_33510	1.3670776150499197e-13	5870.0	2.58358808267371	2.58358808267371	0.58753821842647	4561.0	77.41935483870968	0.041666666666666664	0.2824561811880797	0.2212952225308239	24	10.398470763032892
PA14_37310	PA14_37310	0.0685335407487905	5869.0	2.58113080720181	-2.58113080720181	0.19677315913433	5823.0	98.84550084889644	0.12	0.5696387732012851	0.5171568933283294	25	3.889519911558989
PA14_39945	PA14_39945	9.398197408718528e-07	5868.0	2.57201255153122	-2.57201255153122	0.0839011106504589	5805.0	98.53989813242785	0.04	0.4937600172029007	0.3187434425505289	25	6.520142085743031
PA14_37200	PA14_37200		5867.0	2.53638887560427	-2.53638887560427	0.7514143918915731	3021.0	51.27334465195246	0.04	0.2612582694137201	0.27395332972255704	25	8.304810927082585
PA14_42480	PA14_42480	0.000160840159038423	5866.0	2.5347039852815296	-2.5347039852815296	0.655720446722085	4893.0	83.05602716468591	0.0	0.27468808124078103	0.24635018343268483	25	9.173997244691712
PA14_33650	PA14_33650	1.2583136431564098e-20	5865.0	2.49948003503478	2.49948003503478	0.491979649343185	3354.0	56.926994906621395	0.04	0.25529243387146805	0.35467954141477515	25	6.327366930191436
PA14_33830	PA14_33830	8.13494485535739e-27	5864.0	2.48038030055067	2.48038030055067	0.6389231092609224	4707.0	79.8981324278438	0.0	0.27648823097923564	0.20281582335293222	24	10.866470047242354
PA14_23760	PA14_23760	1.96826902626501e-08	5863.0	2.42045315942329	2.42045315942329	0.148957611092956	5400.0	91.66383701188455	0.04	0.33750756393178166	0.25035429487590116	25	8.319991460597908
PA14_63960	PA14_63960	1.15175380785891e-22	5862.0	2.4076763072392997	2.4076763072392997	0.11567285773853199	5835.0	99.04923599320884	0.12	0.4767741510351323	0.3111764577018154	25	6.20516786669785
PA14_37560	PA14_37560	5.43175483029003e-05	5861.0	2.37962358852336	2.37962358852336	0.817106313972493	4181.0	70.96774193548387	0.04	0.23274670275881237	0.2569710521180329	25	8.354547596195529
PA14_22320	PA14_22320	3.2874342817148797e-11	5860.0	2.3246264305413904	-2.3246264305413904	0.8220913553421745	5010.0	85.04244482173175	0.041666666666666664	0.4200327219200108	0.6367453775274273	24	2.9911386495135424
