val_loss	loss	learning_rate	batch_size	epochs	kappa
3717.749569163603	3519.748432288009	0.001	10	100	0.01
3538.3401391806724	3477.079398508822	0.001	10	100	0.01
3450.9277856650474	3465.780567640669	0.001	10	100	0.01
3434.3566484210874	3453.065837045734	0.001	10	100	0.01
3428.2913869649424	3448.3626756989556	0.001	10	100	0.01
3424.8957622111343	3436.6796004048892	0.001	10	100	0.01
3412.929420791754	3432.6972210487625	0.001	10	100	0.01
3413.8871023995534	3425.4325876986045	0.001	10	100	0.01
3407.3096216025474	3418.653785962737	0.001	10	100	0.01
3396.4081231125265	3415.9419205912045	0.001	10	100	0.01
3400.020436006434	3407.7028115947596	0.001	10	100	0.01
3390.5259896927523	3407.639658724324	0.001	10	100	0.01
3387.7105374376315	3404.2256133690307	0.001	10	100	0.01
3384.43347475709	3394.610013468882	0.001	10	100	0.01
3383.9474830948006	3391.4000388156164	0.001	10	100	0.01
3379.3724744780725	3387.824737891722	0.001	10	100	0.01
3372.5726308101366	3386.960129641415	0.001	10	100	0.01
3375.1850278197217	3383.67407020826	0.001	10	100	0.01
3376.757344734769	3380.6216787273966	0.001	10	100	0.01
3371.5329569327732	3376.4009954902563	0.001	10	100	0.01
3370.7568277310925	3372.2012013638955	0.001	10	100	0.01
3364.9885541130516	3368.459064612228	0.001	10	100	0.01
3363.9869169347426	3368.8565598391415	0.001	10	100	0.01
3366.8049049698006	3365.4431351222347	0.001	10	100	0.01
3360.7683618369224	3360.6318880574086	0.001	10	100	0.01
3359.1946682970065	3360.7686616704705	0.001	10	100	0.01
3357.7363937762607	3357.901716939519	0.001	10	100	0.01
3352.7252946100316	3358.725814304995	0.001	10	100	0.01
3349.9411928834033	3353.8668891821017	0.001	10	100	0.01
3351.1231884355307	3353.389220505618	0.001	10	100	0.01
3350.2209882976626	3346.879102385446	0.001	10	100	0.01
3346.569022042411	3348.9136105655284	0.001	10	100	0.01
3347.5409684381566	3346.7797584105074	0.001	10	100	0.01
3344.6953781512607	3342.98219556487	0.001	10	100	0.01
3341.8823693539916	3339.70917090941	0.001	10	100	0.01
3336.899510487789	3339.0617092861216	0.001	10	100	0.01
3338.042178883272	3338.5646389736216	0.001	10	100	0.01
3336.586612477022	3331.778569253643	0.001	10	100	0.01
3330.0861693310135	3332.2969497509216	0.001	10	100	0.01
3334.672158121061	3333.527768938729	0.001	10	100	0.01
3335.8057153525474	3325.6286895409057	0.001	10	100	0.01
3331.899192489496	3323.6018512168625	0.001	10	100	0.01
3334.418678604254	3322.180758015493	0.001	10	100	0.01
3331.6646923417807	3322.5670817514483	0.001	10	100	0.01
3326.6225278197217	3322.377473638299	0.001	10	100	0.01
3324.7805278361343	3318.2192917727352	0.001	10	100	0.01
3325.258038176208	3318.4279922313904	0.001	10	100	0.01
3327.812916475184	3318.783587852221	0.001	10	100	0.01
3324.0214023109243	3315.756266733234	0.001	10	100	0.01
3323.3794581309085	3316.5208884249914	0.001	10	100	0.01
3320.9317042246585	3313.6425294340324	0.001	10	100	0.01
3324.8057256105567	3317.7865237118153	0.001	10	100	0.01
3322.409157119879	3312.065301445093	0.001	10	100	0.01
3320.9286104090074	3308.820662252019	0.001	10	100	0.01
3320.8534479221375	3307.5634779340767	0.001	10	100	0.01
3319.4004562762607	3308.088463943996	0.001	10	100	0.01
3321.955147879464	3307.057215315572	0.001	10	100	0.01
3318.2927389705883	3303.914000093267	0.001	10	100	0.01
3315.692438205751	3302.7554431015187	0.001	10	100	0.01
3313.07399102219	3305.2062089898614	0.001	10	100	0.01
3313.7952275636817	3301.88455920273	0.001	10	100	0.01
3318.8207700072217	3301.1558933900983	0.001	10	100	0.01
3313.455517167805	3298.8301775642994	0.001	10	100	0.01
3310.6012773273374	3302.4971368339625	0.001	10	100	0.01
3308.95942957261	3296.4966286648523	0.001	10	100	0.01
3309.473975430016	3295.6558858464273	0.001	10	100	0.01
3308.950191209296	3295.0441805378773	0.001	10	100	0.01
3307.545611213235	3292.9627541531336	0.001	10	100	0.01
3310.1002310103727	3295.3047471635796	0.001	10	100	0.01
3309.0316705783875	3292.8596136543188	0.001	10	100	0.01
3307.4078810235033	3290.897491112184	0.001	10	100	0.01
3305.3555918461134	3292.703723693162	0.001	10	100	0.01
3305.1430766642593	3292.2423959796347	0.001	10	100	0.01
3302.5885758600316	3287.7408701007284	0.001	10	100	0.01
3305.2785624015232	3287.2815764352176	0.001	10	100	0.01
3300.640887605042	3288.0304860318643	0.001	10	100	0.01
