ProbeID	Percentile (simulated)	prop DEGs	gene id
PA1159_at	93.63734679163663	60.6060606060606	PA1159
PA0805_at	98.26964671953857	72.72727272727272	PA0805
PA2573_at	94.14203316510455	63.63636363636363	PA2573
PA2486_at	98.79235760634462	72.72727272727272	PA2486
PA0646_at	96.1968276856525	60.6060606060606	PA0646
PA0713_at	87.21160778658977	63.63636363636363	PA0713
PA2007_maiA_i_at	95.0252343186734	72.72727272727272	PA2007
PA1198_at	87.7072819033886	60.6060606060606	PA1198
PA4876_osmE_at	94.5475847152127	63.63636363636363	PA4876
PA0128_at	91.96106705118962	66.66666666666666	PA0128
PA0108_coIII_at	99.13482335976929	93.93939393939394	PA0108
PA4587_ccpR_at	97.04397981254506	84.84848484848484	PA4587
PA4648_at	93.46611391492429	81.81818181818181	PA4648
PA4940_at	88.86085075702957	69.69696969696969	PA4940
PA4761_dnaK_at	81.7141312184571	72.72727272727272	PA4761
PA0743_at	98.4138428262437	81.81818181818181	PA0743
PA2166_at	91.58255227108869	66.66666666666666	PA2166
PA2014_at	98.54001441961067	63.63636363636363	PA2014
PA5556_atpA_at	82.60634462869503	63.63636363636363	PA5556
PA4573_at	98.55803893294882	69.69696969696969	PA4573
PA0519_nirS_at	99.56741167988464	72.72727272727272	PA0519
PA3744_rimM_at	88.88788752703677	72.72727272727272	PA3744
PA3818_at	87.14852198990627	72.72727272727272	PA3818
PA0767_lepA_at	80.36229271809661	72.72727272727272	PA0767
PA3330_at	86.99531362653208	66.66666666666666	PA3330
PA5315_rpmG_at	94.06993511175199	72.72727272727272	PA5315
PA5380_at	85.4902667627974	72.72727272727272	PA5380
PA2780_at	90.5281182408075	69.69696969696969	PA2780
PA3742_rplS_at	89.65392934390772	66.66666666666666	PA3742
PA1135_at	98.25162220620044	63.63636363636363	PA1135
PA1432_lasI_at	81.39870223503965	66.66666666666666	PA1432
PA3188_at	85.0757029560202	72.72727272727272	PA3188
PA0122_at	96.72855082912761	81.81818181818181	PA0122
PA1745_at	97.80100937274693	60.6060606060606	PA1745
PA4223_at	94.58363374188897	69.69696969696969	PA4223
PA0626_at	95.47584715212689	66.66666666666666	PA0626
PA2504_at	87.93258832011536	63.63636363636363	PA2504
PA0628_at	98.04434030281182	60.6060606060606	PA0628
PA0656_at	99.15284787310743	66.66666666666666	PA0656
PA5378_at	83.32732516222062	63.63636363636363	PA5378
PA0621_at	96.16077865897621	75.75757575757575	PA0621
PA0635_at	99.098774333093	66.66666666666666	PA0635
PA0629_at	95.87238644556597	63.63636363636363	PA0629
PA4377_at	99.87382840663302	78.78787878787878	PA4377
PA0084_at	96.84571016582552	60.6060606060606	PA0084
PA0613_at	88.12184571016583	63.63636363636363	PA0613
PA3745_rpsP_at	94.73684210526316	66.66666666666666	PA3745
PA0624_at	97.98125450612834	81.81818181818181	PA0624
PA4225_pchF_at	84.43583273251622	72.72727272727272	PA4225
PA4430_at	80.74080749819755	69.69696969696969	PA4430
PA0085_at	93.94376351838501	72.72727272727272	PA0085
PA1559_at	84.56200432588321	75.75757575757575	PA1559
PA4131_at	98.97260273972603	87.87878787878788	PA4131
PA0747_at	85.22891131939438	69.69696969696969	PA0747
