ProbeID	Percentile (simulated)	prop DEGs	gene id
PA0511_nirJ_at	98.57606344628695	60.6060606060606	PA0511
PA4290_at	81.7772170151406	60.6060606060606	PA4290
PA4133_at	97.11607786589762	72.72727272727272	PA4133
PA3922_at	91.03280461427542	87.87878787878788	PA3922
PA2815_at	93.79956741167989	66.66666666666666	PA2815
PA0517_nirC_at	96.09769286229272	60.6060606060606	PA0517
PA3187_at	88.62653208363375	60.6060606060606	PA3187
PA2195_hcnC_at	95.89041095890411	72.72727272727272	PA2195
PA2939_at	86.62581110310022	93.93939393939394	PA2939
PA4311_at	95.98954578226387	66.66666666666666	PA4311
PA0958_oprD_at	84.69718817591925	69.69696969696969	PA0958
PA3460_at	81.04722422494592	66.66666666666666	PA3460
PA4432_rpsI_at	80.10994953136266	78.78787878787878	PA4432
PA3353_at	93.24981975486662	66.66666666666666	PA3353
PA3479_rhlA_at	85.94087959625091	81.81818181818181	PA3479
PA0484_at	95.36770007209806	72.72727272727272	PA0484
PA4770_lldP_at	87.93258832011536	66.66666666666666	PA4770
PA0175_at	87.41888968997837	60.6060606060606	PA0175
PA0872_phhA_at	97.20620043258832	66.66666666666666	PA0872
PA1094_fliD_at	98.34174477289113	60.6060606060606	PA1094
PA0627_at	96.98990627253065	69.69696969696969	PA0627
PA1775_at	83.52559480894016	60.6060606060606	PA1775
PA4753_at	82.75955299206922	63.63636363636363	PA4753
PA0579_rpsU_at	93.61932227829848	63.63636363636363	PA0579
PA4306_at	99.26099495313626	72.72727272727272	PA4306
PA2840_at	90.37490987743331	66.66666666666666	PA2840
PA2080_at	83.65176640230715	66.66666666666666	PA2080
PA1000_at	93.27685652487384	66.66666666666666	PA1000
PA2204_at	95.68312905551551	60.6060606060606	PA2204
PA0567_i_at	98.64816149963951	69.69696969696969	PA0567
PA1701_at	87.36481614996396	60.6060606060606	PA1701
PA4130_at	85.78767123287672	87.87878787878788	PA4130
PA0046_at	94.68276856524874	72.72727272727272	PA0046
PA1555_at	97.6027397260274	72.72727272727272	PA1555
PA2562_at	96.9718817591925	69.69696969696969	PA2562
PA2433_at	99.40519105984139	72.72727272727272	PA2433
PA4221_fptA_at	89.4196106705119	78.78787878787878	PA4221
PA0636_at	99.58543619322279	63.63636363636363	PA0636
PA2937_at	99.60346070656092	84.84848484848484	PA2937
PA2009_hmgA_at	99.44124008651767	84.84848484848484	PA2009
PA2000_at	98.19754866618601	69.69696969696969	PA2000
PA5153_at	92.16834895457822	72.72727272727272	PA5153
PA2111_at	94.61968276856526	72.72727272727272	PA2111
PA3572_at	99.71160778658977	60.6060606060606	PA3572
PA1784_at	92.34859408795963	81.81818181818181	PA1784
PA0852_cpbD_at	81.22746935832733	78.78787878787878	PA0852
PA4812_fdnG_at	87.23864455659697	60.6060606060606	PA4812
PA4090_at	87.98666186012977	66.66666666666666	PA4090
PA5348_at	98.6842105263158	66.66666666666666	PA5348
PA3692_at	89.72602739726028	63.63636363636363	PA3692
PA0515_at	98.84643114635905	60.6060606060606	PA0515
PA1202_at	90.74441240086517	60.6060606060606	PA1202
PA3417_at	94.9351117519827	87.87878787878788	PA3417
PA3724_lasB_at	92.75414563806777	90.9090909090909	PA3724
PA4222_at	92.42970439798125	63.63636363636363	PA4222
PA1746_at	80.6957462148522	69.69696969696969	PA1746
PA0070_at	85.86878154289835	66.66666666666666	PA0070
PA3570_mmsA_at	83.2732516222062	84.84848484848484	PA3570
PA5482_at	98.21557317952416	75.75757575757575	PA5482
PA4132_at	97.422494592646	66.66666666666666	PA4132
PA4563_rpsT_at	85.5533525594809	75.75757575757575	PA4563
PA1175_napD_at	99.78370583994233	63.63636363636363	PA1175
PA5043_pilN_at	85.5533525594809	60.6060606060606	PA5043
PA0329_at	98.99062725306416	66.66666666666666	PA0329
PA4500_at	89.92429704397982	90.9090909090909	PA4500
PA5481_at	93.16870944484499	63.63636363636363	PA5481
PA0638_at	97.35039653929344	63.63636363636363	PA0638
PA4255_rpmC_at	85.72458543619322	69.69696969696969	PA4255
PA1897_at	92.09625090122567	60.6060606060606	PA1897
PA4217_at	81.54289834174477	84.84848484848484	PA4217
PA1903_s_at	88.08579668348955	84.84848484848484	PA1903
PA2570_pa1L_at	93.15068493150685	69.69696969696969	PA2570
PA1324_at	95.15140591204037	75.75757575757575	PA1324
PA1333_r_at	91.8439077144917	84.84848484848484	PA1333
PA0524_norB_at	93.98882480173036	66.66666666666666	PA0524
PA1092_fliC_at	99.08074981975487	60.6060606060606	PA1092
PA1930_at	98.75630857966836	78.78787878787878	PA1930
PA1984_s_at	91.76279740447008	84.84848484848484	PA1984
PA2250_lpdV_at	93.02451333813987	69.69696969696969	PA2250
PA2572_at	97.53965392934391	66.66666666666666	PA2572
PA2112_at	97.72891131939437	63.63636363636363	PA2112
PA2754_at	98.86445565969719	78.78787878787878	PA2754
PA2375_i_at	99.27901946647441	63.63636363636363	PA2375
PA2024_at	94.87202595529921	84.84848484848484	PA2024
PA0999_fabH1_at	95.27757750540735	66.66666666666666	PA0999
PA0090_at	96.95385724585437	63.63636363636363	PA0090
PA1096_at	99.62148521989906	63.63636363636363	PA1096
PA1761_at	98.59408795962509	66.66666666666666	PA1761
PA2554_at	83.41744772891133	66.66666666666666	PA2554
PA3688_at	95.90843547224225	72.72727272727272	PA3688
PA1079_flgD_at	86.3284066330209	60.6060606060606	PA1079
PA5049_rpmE_at	98.13446286950253	72.72727272727272	PA5049
PA0731_at	87.53604902667628	69.69696969696969	PA0731
PA1337_ansB_at	87.53604902667628	60.6060606060606	PA1337
PA4741_rpsO_at	82.21881759192502	63.63636363636363	PA4741
PA5436_at	84.3817591925018	66.66666666666666	PA5436
PA4746_at	85.40014419610671	66.66666666666666	PA4746
PA4269_rpoC_at	81.00216294160057	66.66666666666666	PA4269
PA1250_aprI_at	91.94304253785148	63.63636363636363	PA1250
PA4211_g_at	91.18601297764961	78.78787878787878	PA4211
PA5475_at	82.09264599855804	69.69696969696969	PA5475
PA2618_at	97.56669069935111	63.63636363636363	PA2618
PA2015_at	97.37743330930066	78.78787878787878	PA2015
PA3038_at	95.22350396539294	66.66666666666666	PA3038
PA0762_algU_at	89.00504686373468	81.81818181818181	PA0762
PA0038_at	97.77397260273973	63.63636363636363	PA0038
PA3392_nosZ_at	95.9264599855804	72.72727272727272	PA3392
PA4739_at	99.54938716654651	87.87878787878788	PA4739
PA5182_at	91.6366258111031	63.63636363636363	PA5182
PA2030_at	91.51946647440519	66.66666666666666	PA2030
PA1341_at	83.39041095890411	72.72727272727272	PA1341
PA4210_s_at	87.79740447007931	60.6060606060606	PA4210
PA5429_aspA_at	83.32732516222062	81.81818181818181	PA5429
PA1552_at	91.08687815428983	66.66666666666666	PA1552
PA2966_acpP_at	85.44520547945206	60.6060606060606	PA2966
PA0996_at	94.03388608507571	63.63636363636363	PA0996
PA4703_at	99.38716654650325	63.63636363636363	PA4703
PA2779_at	99.29704397981254	72.72727272727272	PA2779
PA2300_chiC_at	83.32732516222062	84.84848484848484	PA2300
PA0979_s_at	87.67123287671232	60.6060606060606	PA0979
PA4129_at	88.02271088680605	81.81818181818181	PA4129
PA4300_at	85.81470800288392	69.69696969696969	PA4300
PA0284_at	94.61968276856526	75.75757575757575	PA0284
PA3520_at	95.5659697188176	72.72727272727272	PA3520
PA5479_gltP_at	86.26532083633742	75.75757575757575	PA5479
PA2190_at	99.02667627974044	72.72727272727272	PA2190
PA0045_at	96.89978370583994	72.72727272727272	PA0045
PA5178_at	93.68240807498198	63.63636363636363	PA5178
PA0587_at	99.53136265320836	81.81818181818181	PA0587
PA3017_at	92.41167988464312	63.63636363636363	PA3017
PA0619_at	98.66618601297765	69.69696969696969	PA0619
PA2071_fusA2_at	88.74369142033166	66.66666666666666	PA2071
PA1178_oprH_at	97.07101658255228	69.69696969696969	PA1178
PA5312_at	86.26532083633742	60.6060606060606	PA5312
PA4611_at	99.04470079307859	75.75757575757575	PA4611
PA5424_at	98.73828406633021	66.66666666666666	PA5424
PA2968_fabD_at	85.5533525594809	69.69696969696969	PA2968
PA4067_oprG_at	90.74441240086517	72.72727272727272	PA4067
PA0617_at	97.3323720259553	60.6060606060606	PA0617
PA4134_i_at	84.52595529920693	66.66666666666666	PA4134
PA3041_at	94.23215573179525	66.66666666666666	PA3041
PA2604_at	96.46719538572458	66.66666666666666	PA2604
PA2760_at	82.67844268204759	75.75757575757575	PA2760
PA3477_rhlR_at	85.5533525594809	75.75757575757575	PA3477
PA0588_at	99.8197548666186	72.72727272727272	PA0588
PA2013_at	95.71016582552271	63.63636363636363	PA2013
PA5546_at	98.90050468637347	72.72727272727272	PA5546
PA4574_at	81.66005767844268	60.6060606060606	PA4574
PA1174_napA_at	98.43186733958183	78.78787878787878	PA1174
PA4229_pchC_at	88.95998558038933	72.72727272727272	PA4229
PA4614_mscL_at	89.45565969718818	63.63636363636363	PA4614
PA1493_cysP_at	84.21953857245855	72.72727272727272	PA1493
PA4610_at	90.5281182408075	63.63636363636363	PA4610
PA1080_flgE_at	81.93943763518385	75.75757575757575	PA1080
PA0179_at	98.81038211968277	81.81818181818181	PA0179
PA2247_bkdA1_at	93.94376351838501	81.81818181818181	PA2247
PA2619_infA_at	91.87094448449892	75.75757575757575	PA2619
PA2485_at	99.76568132660418	81.81818181818181	PA2485
PA2001_atoB_at	91.46539293439078	63.63636363636363	PA2001
PA0614_at	97.77397260273973	72.72727272727272	PA0614
PA3235_at	95.83633741888968	72.72727272727272	PA3235
PA0623_at	97.83705839942321	81.81818181818181	PA0623
PA3183_zwf_at	91.74477289113194	63.63636363636363	PA3183
PA3415_at	90.66330209084354	69.69696969696969	PA3415
PA1673_at	84.29163662581111	66.66666666666666	PA1673
PA2368_i_at	90.27577505407353	60.6060606060606	PA2368
PA1901_s_at	89.14023071377073	72.72727272727272	PA1901
PA0106_coxA_at	99.65753424657534	93.93939393939394	PA0106
PA2920_at	93.88067772170152	60.6060606060606	PA2920
PA1658_at	96.62941600576785	60.6060606060606	PA1658
PA0180_at	90.96971881759193	66.66666666666666	PA0180
PA1176_napF_at	99.47728911319395	69.69696969696969	PA1176
PA3126_ibpA_at	94.77289113193945	69.69696969696969	PA3126
PA4443_cysD_at	90.31182408074982	69.69696969696969	PA4443
PA1093_at	92.60093727469358	69.69696969696969	PA1093
PA4523_at	98.52198990627254	60.6060606060606	PA4523
PA2444_glyA2_at	91.97909156452776	81.81818181818181	PA2444
PA2366_at	95.44881038211969	75.75757575757575	PA2366
PA0291_oprE_at	94.4844989185292	72.72727272727272	PA0291
PA3333_fabH2_at	93.78154289834174	63.63636363636363	PA3333
PA0633_at	99.31506849315069	72.72727272727272	PA0633
PA1086_flgK_at	95.20547945205479	63.63636363636363	PA1086
PA2862_lipA_at	92.88932948810383	63.63636363636363	PA2862
PA3369_at	99.7296322999279	69.69696969696969	PA3369
PA3785_at	89.65392934390772	63.63636363636363	PA3785
PA1869_at	93.72746935832733	75.75757575757575	PA1869
PA3930_cioA_at	94.457462148522	78.78787878787878	PA3930
PA3743_trmD_at	84.85039653929344	66.66666666666666	PA3743
PA1001_phnA_at	89.14023071377073	72.72727272727272	PA1001
PA3740_at	94.41240086517664	63.63636363636363	PA3740
PA0141_at	89.59084354722422	72.72727272727272	PA0141
PA4370_at	81.39870223503965	66.66666666666666	PA4370
PA3042_at	92.23143475126172	69.69696969696969	PA3042
PA3186_oprB_s_at	80.31723143475126	63.63636363636363	PA3186
PA0639_at	99.00865176640231	63.63636363636363	PA0639
PA1718_pscE_at	92.06921413121846	60.6060606060606	PA1718
PA0615_at	88.2480173035328	63.63636363636363	PA0615
PA4276_secE_at	82.21881759192502	63.63636363636363	PA4276
PA2501_at	96.05263157894737	63.63636363636363	PA2501
PA0865_hpd_at	81.39870223503965	78.78787878787878	PA0865
PA2659_at	98.23359769286229	69.69696969696969	PA2659
PA4218_at	89.65392934390772	72.72727272727272	PA4218
PA4929_at	86.70692141312185	60.6060606060606	PA4929
PA4141_at	98.50396539293439	84.84848484848484	PA4141
PA1172_napC_at	96.32299927901947	63.63636363636363	PA1172
PA4738_at	98.91852919971161	75.75757575757575	PA4738
PA0586_at	99.17087238644557	84.84848484848484	PA0586
PA2367_at	96.28695025234319	72.72727272727272	PA2367
PA3361_at	98.63013698630137	90.9090909090909	PA3361
PA0871_phhB_at	87.98666186012977	66.66666666666666	PA0871
PA4296_at	99.6395097332372	87.87878787878788	PA4296
PA0640_at	98.07137707281903	60.6060606060606	PA0640
PA0763_mucA_at	86.3284066330209	75.75757575757575	PA0763
PA2193_hcnA_at	89.83417447728911	75.75757575757575	PA2193
PA3040_at	96.50324441240086	72.72727272727272	PA3040
PA0997_at	95.81831290555155	75.75757575757575	PA0997
PA4762_grpE_at	81.39870223503965	69.69696969696969	PA4762
PA1888_at	92.30353280461428	66.66666666666666	PA1888
PA0509_nirN_at	98.04434030281182	60.6060606060606	PA0509
PA2381_at	97.18817591925018	72.72727272727272	PA2381
PA4139_at	83.52559480894016	66.66666666666666	PA4139
PA4607_at	99.9098774333093	96.96969696969697	PA4607
PA1414_at	95.52992069214132	72.72727272727272	PA1414
PA5460_at	99.96395097332372	66.66666666666666	PA5460
PA3234_at	93.0785868781543	69.69696969696969	PA3234
PA2171_at	86.26532083633742	66.66666666666666	PA2171
PA4224_at	88.77072819033886	69.69696969696969	PA4224
PA2174_at	96.43114635904831	60.6060606060606	PA2174
PA3621_fdxA_at	98.61211247296323	75.75757575757575	PA3621
PA0807_at	97.26928622927181	60.6060606060606	PA0807
PA3526_at	82.99387166546504	69.69696969696969	PA3526
PA2747_at	99.94592645998559	66.66666666666666	PA2747
PA0796_prpB_at	82.39005046863736	69.69696969696969	PA0796
PA1830_at	87.53604902667628	69.69696969696969	PA1830
PA3418_ldh_at	98.9545782263879	87.87878787878788	PA3418
PA5316_rpmB_at	90.96971881759193	75.75757575757575	PA5316
PA1471_at	99.92790194664744	60.6060606060606	PA1471
PA3332_at	84.48089401586158	78.78787878787878	PA3332
PA0505_at	98.323720259553	69.69696969696969	PA0505
PA2555_at	89.56380677721701	72.72727272727272	PA2555
PA1190_at	99.85580389329488	66.66666666666666	PA1190
PA4236_katA_at	92.81723143475126	66.66666666666666	PA4236
PA3584_glpD_at	93.0785868781543	78.78787878787878	PA3584
PA1289_at	93.68240807498198	69.69696969696969	PA1289
PA1557_at	95.09733237202596	75.75757575757575	PA1557
PA1592_i_at	80.83994232155732	66.66666666666666	PA1592
PA4566_obg_at	80.39834174477289	60.6060606060606	PA4566
PA1073_braD_at	81.1463590483057	72.72727272727272	PA1073
PA5359_at	97.22422494592647	69.69696969696969	PA5359
PA1077_flgB_at	89.39257390050469	63.63636363636363	PA1077
PA0107_at	99.51333813987023	75.75757575757575	PA0107
PA2110_at	96.66546503244413	69.69696969696969	PA2110
PA4324_at	92.68204758471522	63.63636363636363	PA4324
PA1249_aprA_at	91.05984138428262	84.84848484848484	PA1249
PA1177_napE_at	99.67555875991349	90.9090909090909	PA1177
PA4433_rplM_at	83.65176640230715	72.72727272727272	PA4433
PA0039_at	96.55731795241529	69.69696969696969	PA0039
PA1002_phnB_at	81.57894736842105	69.69696969696969	PA1002
PA0998_at	95.12436914203316	63.63636363636363	PA0998
PA1852_at	97.37743330930066	60.6060606060606	PA1852
PA2114_at	94.30425378514781	69.69696969696969	PA2114
PA2031_i_at	98.28767123287672	81.81818181818181	PA2031
PA1596_htpG_at	84.59805335255949	69.69696969696969	PA1596
PA3250_at	95.94448449891853	66.66666666666666	PA3250
PA0745_at	84.29163662581111	87.87878787878788	PA0745
PA2788_at	80.36229271809661	87.87878787878788	PA2788
PA1071_braF_at	81.30857966834895	66.66666666666666	PA1071
PA4228_pchD_at	89.14023071377073	78.78787878787878	PA4228
PA4333_at	82.94881038211969	69.69696969696969	PA4333
PA2008_fahA_at	98.16149963950973	72.72727272727272	PA2008
PA2113_at	97.40447007930786	69.69696969696969	PA2113
PA5446_i_at	99.4592645998558	72.72727272727272	PA5446
PA1431_rsaL_at	97.17015140591204	78.78787878787878	PA1431
PA0746_at	81.47981254506128	87.87878787878788	PA0746
PA3385_at	94.98918529199712	72.72727272727272	PA3385
PA3334_at	88.68961788031723	75.75757575757575	PA3334
PA5212_i_at	95.3857245854362	78.78787878787878	PA5212
PA4226_pchE_at	94.23215573179525	81.81818181818181	PA4226
PA5554_atpD_at	80.58759913482336	66.66666666666666	PA5554
PA3347_at	96.77361211247296	63.63636363636363	PA3347
PA3819_at	93.54722422494592	81.81818181818181	PA3819
PA4670_prs_at	89.36553713049747	66.66666666666666	PA4670
PA4702_at	98.17952415284788	69.69696969696969	PA4702
PA3049_rmf_at	100.0	75.75757575757575	PA3049
PA4304_at	84.15645277577505	60.6060606060606	PA4304
PA4925_at	98.08940158615718	75.75757575757575	PA4925
PA3530_at	94.95313626532084	69.69696969696969	PA3530
PA1710_exsC_at	86.78803172314348	69.69696969696969	PA1710
PA0618_at	95.85436193222783	72.72727272727272	PA0618
PA0059_osmC_at	97.62076423936554	75.75757575757575	PA0059
PA0887_acsA_at	95.2956020187455	66.66666666666666	PA0887
PA5046_at	85.63446286950253	60.6060606060606	PA5046
PA5100_hutU_at	88.36517664023071	66.66666666666666	PA5100
PA4358_at	80.58759913482336	72.72727272727272	PA4358
PA1323_at	94.65573179524154	75.75757575757575	PA1323
PA1617_at	82.92177361211247	66.66666666666666	PA1617
PA4496_at	87.93258832011536	63.63636363636363	PA4496
PA4915_at	89.92429704397982	72.72727272727272	PA4915
PA2622_cspD_at	99.24297043979813	60.6060606060606	PA2622
PA4596_at	92.34859408795963	63.63636363636363	PA4596
PA0105_coxB_at	99.80173035328046	99.99999999999999	PA0105
PA5313_at	87.16654650324442	60.6060606060606	PA5313
PA3691_at	90.41095890410959	69.69696969696969	PA3691
PA1999_at	99.33309300648882	81.81818181818181	PA1999
PA2365_at	95.07930785868781	72.72727272727272	PA2365
PA3784_at	88.92393655371305	60.6060606060606	PA3784
PA2883_at	98.88248017303533	66.66666666666666	PA2883
PA0546_metK_at	85.90483056957463	78.78787878787878	PA0546
PA0177_at	84.03929343907714	72.72727272727272	PA0177
PA1041_at	99.89185291997116	96.96969696969697	PA1041
PA3472_at	93.3759913482336	60.6060606060606	PA3472
PA3326_at	87.18457101658255	78.78787878787878	PA3326
PA1871_lasA_at	85.90483056957463	84.84848484848484	PA1871
PA2249_bkdB_at	89.2393655371305	84.84848484848484	PA2249
PA2016_at	84.81434751261716	60.6060606060606	PA2016
PA3723_at	97.26928622927181	87.87878787878788	PA3723
PA3569_mmsB_at	88.41925018024513	78.78787878787878	PA3569
PA0637_at	98.47692862292718	60.6060606060606	PA0637
PA0518_nirM_at	98.93655371304975	84.84848484848484	PA0518
PA2746_at	99.98197548666187	63.63636363636363	PA2746
PA2445_gcvP2_at	88.8157894736842	93.93939393939394	PA2445
PA0625_at	97.53965392934391	72.72727272727272	PA0625
PA0200_i_at	85.61643835616438	63.63636363636363	PA0200
PA4733_acsB_at	80.90302811824081	63.63636363636363	PA4733
PA3531_bfrB_at	96.75558759913483	72.72727272727272	PA3531
PA3349_at	96.52126892573901	72.72727272727272	PA3349
PA2248_bkdA2_at	97.90014419610671	84.84848484848484	PA2248
PA2194_hcnB_at	97.70187454938717	72.72727272727272	PA2194
PA4270_rpoB_at	80.65969718817593	69.69696969696969	PA4270
PA3880_at	93.0785868781543	66.66666666666666	PA3880
PA3032_at	89.51874549387166	66.66666666666666	PA3032
PA3278_at	90.78947368421053	75.75757575757575	PA3278
PA2019_at	83.48053352559481	60.6060606060606	PA2019
PA1774_at	91.23107426099496	66.66666666666666	PA1774
PA3179_at	94.87202595529921	60.6060606060606	PA3179
PA4748_tpiA_at	95.44881038211969	60.6060606060606	PA4748
PA4880_at	97.96322999279019	75.75757575757575	PA4880
PA1571_at	97.81903388608508	66.66666666666666	PA1571
PA0315_at	86.77000720980534	75.75757575757575	PA0315
PA2331_at	90.37490987743331	72.72727272727272	PA2331
PA1657_at	98.37779379956741	60.6060606060606	PA1657
PA3622_rpoS_at	89.59084354722422	81.81818181818181	PA3622
PA2146_i_at	99.83777937995674	60.6060606060606	PA2146
PA2552_at	82.81362653208363	63.63636363636363	PA2552
PA0176_at	92.09625090122567	78.78787878787878	PA0176
PA1556_at	96.14275414563807	72.72727272727272	PA1556
PA1342_at	80.90302811824081	72.72727272727272	PA1342
PA4235_bfrA_at	90.37490987743331	63.63636363636363	PA4235
PA3525_argG_at	89.20331651045421	72.72727272727272	PA3525
PA2970_rpmF_at	93.90771449170873	69.69696969696969	PA2970
PA3451_at	99.74765681326605	63.63636363636363	PA3451
PA3416_at	84.29163662581111	75.75757575757575	PA3416
PA4570_at	87.31975486661861	63.63636363636363	PA4570
PA3986_at	99.35111751982697	75.75757575757575	PA3986
PA2426_pvdS_at	87.8604902667628	75.75757575757575	PA2426
PA1880_at	85.40014419610671	66.66666666666666	PA1880
PA3327_at	82.67844268204759	66.66666666666666	PA3327
PA4913_at	92.02415284787311	63.63636363636363	PA4913
PA1728_at	99.42321557317952	78.78787878787878	PA1728
PA0616_at	95.12436914203316	69.69696969696969	PA0616
PA1545_at	95.78226387887527	84.84848484848484	PA1545
PA5167_at	84.52595529920693	66.66666666666666	PA5167
PA1095_at	99.69358327325162	63.63636363636363	PA1095
PA0083_at	90.89762076423936	69.69696969696969	PA0083
PA0622_at	98.35976928622927	75.75757575757575	PA0622
