val_loss	loss	learning_rate	batch_size	epochs	kappa
7652.8388509655315	4396.868087363454	0.001	10	40	0.01
4588.978634045369	4353.340342023731	0.001	10	40	0.01
4337.900114851536	4334.886649342765	0.001	10	40	0.01
4980.058837079527	4323.9342157144465	0.001	10	40	0.01
4525.530867161545	4312.811799175972	0.001	10	40	0.01
4313.3615235997195	4302.287106404262	0.001	10	40	0.01
4341.129199867629	4293.245786683749	0.001	10	40	0.01
4487.654903576619	4281.080356564142	0.001	10	40	0.01
4398.842620139898	4279.708234668833	0.001	10	40	0.01
4267.021907768376	4274.440850181917	0.001	10	40	0.01
4376.911753302793	4262.881217483926	0.001	10	40	0.01
4260.362218711068	4266.92509068852	0.001	10	40	0.01
4231.729704695286	4255.7593950929895	0.001	10	40	0.01
4236.650370347539	4253.593764853688	0.001	10	40	0.01
4267.721087585652	4252.511506747355	0.001	10	40	0.01
4229.353364760694	4250.853009519324	0.001	10	40	0.01
4212.748595177533	4239.552471059614	0.001	10	40	0.01
4218.857223966985	4238.471722628163	0.001	10	40	0.01
4219.662996716674	4235.096979732007	0.001	10	40	0.01
4211.5107494873855	4231.975246733269	0.001	10	40	0.01
4240.684678999689	4238.506015473762	0.001	10	40	0.01
4216.594371301391	4232.466036636218	0.001	10	40	0.01
4229.236612820546	4230.319245465034	0.001	10	40	0.01
4209.666806445962	4226.648934153329	0.001	10	40	0.01
4198.42118637744	4221.551675171979	0.001	10	40	0.01
4280.7608200529485	4220.391556461301	0.001	10	40	0.01
4205.793251012251	4217.65040628889	0.001	10	40	0.01
4222.804296550561	4220.833171203073	0.001	10	40	0.01
4216.358116986347	4218.534075171547	0.001	10	40	0.01
4199.60565368044	4214.584191786505	0.001	10	40	0.01
4215.939959250415	4212.542321669317	0.001	10	40	0.01
4191.86059813642	4212.788796213876	0.001	10	40	0.01
4185.548395809541	4212.348810246561	0.001	10	40	0.01
4195.843164386939	4209.961348001936	0.001	10	40	0.01
4186.398224181115	4206.705537509074	0.001	10	40	0.01
4190.572669552014	4205.234650468405	0.001	10	40	0.01
4198.79026535896	4208.249233279608	0.001	10	40	0.01
4203.89583144077	4206.036076638551	0.001	10	40	0.01
4183.7179275462	4203.022318072024	0.001	10	40	0.01
4215.830833257631	4202.342490947352	0.001	10	40	0.01
