val_loss	loss	learning_rate	batch_size	epochs	kappa
2819.283354740075	3011.8764410157787	0.001	10	40	0.01
2756.0488684788224	2734.456910188533	0.001	10	40	0.01
2718.86446649941	2701.128174885011	0.001	10	40	0.01
2709.2230084812204	2670.4318205838313	0.001	10	40	0.01
2702.841288128597	2654.8913685672164	0.001	10	40	0.01
2668.4675059493065	2638.253225711611	0.001	10	40	0.01
2667.1410242145994	2625.997007860156	0.001	10	40	0.01
2643.9083783758856	2611.040036180084	0.001	10	40	0.01
2642.5507339783794	2593.1614529528238	0.001	10	40	0.01
2622.6308262272173	2581.8544363647125	0.001	10	40	0.01
2622.8862105800804	2568.9608020264536	0.001	10	40	0.01
2624.9735665169346	2559.8538562304766	0.001	10	40	0.01
2611.7566699103454	2554.874858953783	0.001	10	40	0.01
2596.2886975861497	2543.912292024086	0.001	10	40	0.01
2598.6873426200927	2532.6318498691767	0.001	10	40	0.01
2587.4759442217937	2526.8566522699603	0.001	10	40	0.01
2584.657370683294	2528.012087603152	0.001	10	40	0.01
2583.125719739245	2518.187978865358	0.001	10	40	0.01
2579.9647679424625	2518.3047743567986	0.001	10	40	0.01
2572.4262510837884	2505.484548041033	0.001	10	40	0.01
2563.0060536498304	2503.191361188232	0.001	10	40	0.01
2568.118800788168	2498.987342447148	0.001	10	40	0.01
2575.5140820427796	2494.3293223555565	0.001	10	40	0.01
2555.5976542323087	2488.353682420799	0.001	10	40	0.01
2556.019125405844	2486.843398249182	0.001	10	40	0.01
2551.805510141492	2482.495548108674	0.001	10	40	0.01
2548.1199243538776	2476.700183878917	0.001	10	40	0.01
2549.6262933400053	2477.1994207112725	0.001	10	40	0.01
2544.033572074233	2470.207000696392	0.001	10	40	0.01
2544.8125717721555	2465.2746554167898	0.001	10	40	0.01
2543.4115225151268	2465.4866582576988	0.001	10	40	0.01
2547.290534261548	2462.161346639718	0.001	10	40	0.01
2543.4950249501917	2465.978697697603	0.001	10	40	0.01
2539.7163852660124	2457.0562463105075	0.001	10	40	0.01
2539.045108655549	2453.3658467922937	0.001	10	40	0.01
2538.2373211172703	2454.0079347144333	0.001	10	40	0.01
2533.8857551583715	2451.964989888485	0.001	10	40	0.01
2535.571850268872	2447.192982162842	0.001	10	40	0.01
2549.9082137899386	2446.13450966647	0.001	10	40	0.01
2533.109312739817	2442.9474452955897	0.001	10	40	0.01
